Time,Message
1724324482.310061,"header: 
  seq: 0
  stamp: 
    secs: 1724324482
    nsecs: 309604078
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324482.3208957,"header: 
  seq: 1
  stamp: 
    secs: 1724324482
    nsecs: 320555487
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324482.3298035,"header: 
  seq: 2
  stamp: 
    secs: 1724324482
    nsecs: 329599603
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324482.341115,"header: 
  seq: 3
  stamp: 
    secs: 1724324482
    nsecs: 340785421
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324482.3526256,"header: 
  seq: 4
  stamp: 
    secs: 1724324482
    nsecs: 351380400
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324482.3638701,"header: 
  seq: 5
  stamp: 
    secs: 1724324482
    nsecs: 362164009
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324482.3744507,"header: 
  seq: 6
  stamp: 
    secs: 1724324482
    nsecs: 372700589
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324482.3841546,"header: 
  seq: 7
  stamp: 
    secs: 1724324482
    nsecs: 383567236
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324482.3923051,"header: 
  seq: 8
  stamp: 
    secs: 1724324482
    nsecs: 391733819
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324482.402087,"header: 
  seq: 9
  stamp: 
    secs: 1724324482
    nsecs: 401497482
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324482.41065,"header: 
  seq: 10
  stamp: 
    secs: 1724324482
    nsecs: 410237744
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324482.4226677,"header: 
  seq: 11
  stamp: 
    secs: 1724324482
    nsecs: 421317426
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324482.4331498,"header: 
  seq: 12
  stamp: 
    secs: 1724324482
    nsecs: 431540166
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324482.4405947,"header: 
  seq: 13
  stamp: 
    secs: 1724324482
    nsecs: 439904316
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324482.452496,"header: 
  seq: 14
  stamp: 
    secs: 1724324482
    nsecs: 451600069
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324482.4601705,"header: 
  seq: 15
  stamp: 
    secs: 1724324482
    nsecs: 459635899
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324482.4706511,"header: 
  seq: 16
  stamp: 
    secs: 1724324482
    nsecs: 470205813
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324482.4811988,"header: 
  seq: 17
  stamp: 
    secs: 1724324482
    nsecs: 480789053
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324482.4909172,"header: 
  seq: 18
  stamp: 
    secs: 1724324482
    nsecs: 490594365
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324482.5017598,"header: 
  seq: 19
  stamp: 
    secs: 1724324482
    nsecs: 500667375
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324482.5111346,"header: 
  seq: 20
  stamp: 
    secs: 1724324482
    nsecs: 509877403
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
