Time,Message
1724324468.743766,"header: 
  seq: 0
  stamp: 
    secs: 1724324468
    nsecs: 743552358
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 17075"
1724324468.7437797,"header: 
  seq: 1
  stamp: 
    secs: 1724324468
    nsecs: 743630321
  frame_id: ''
latencyUsec: 0
sizeBit: 312
seqNum: 17076"
1724324468.7463348,"header: 
  seq: 2
  stamp: 
    secs: 1724324468
    nsecs: 743704908
  frame_id: ''
latencyUsec: 0
sizeBit: 128
seqNum: 17077"
1724324468.7463512,"header: 
  seq: 3
  stamp: 
    secs: 1724324468
    nsecs: 743736365
  frame_id: ''
latencyUsec: 0
sizeBit: 11200
seqNum: 17078"
1724324468.7463605,"header: 
  seq: 4
  stamp: 
    secs: 1724324468
    nsecs: 743761838
  frame_id: ''
latencyUsec: 0
sizeBit: 11200
seqNum: 17079"
1724324468.746365,"header: 
  seq: 5
  stamp: 
    secs: 1724324468
    nsecs: 743784127
  frame_id: ''
latencyUsec: 0
sizeBit: 11200
seqNum: 17080"
1724324468.7463694,"header: 
  seq: 6
  stamp: 
    secs: 1724324468
    nsecs: 743808050
  frame_id: ''
latencyUsec: 0
sizeBit: 11200
seqNum: 17081"
1724324468.7463734,"header: 
  seq: 7
  stamp: 
    secs: 1724324468
    nsecs: 743826523
  frame_id: ''
latencyUsec: 0
sizeBit: 4456
seqNum: 17082"
1724324468.7553778,"header: 
  seq: 8
  stamp: 
    secs: 1724324468
    nsecs: 754871301
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 17083"
1724324468.7554083,"header: 
  seq: 9
  stamp: 
    secs: 1724324468
    nsecs: 754902859
  frame_id: ''
latencyUsec: 0
sizeBit: 2576
seqNum: 17084"
1724324468.7632256,"header: 
  seq: 10
  stamp: 
    secs: 1724324468
    nsecs: 762584324
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 17085"
1724324468.7632368,"header: 
  seq: 11
  stamp: 
    secs: 1724324468
    nsecs: 762623401
  frame_id: ''
latencyUsec: 0
sizeBit: 2488
seqNum: 17086"
1724324468.7668822,"header: 
  seq: 12
  stamp: 
    secs: 1724324468
    nsecs: 765531947
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 17087"
1724324468.7668943,"header: 
  seq: 13
  stamp: 
    secs: 1724324468
    nsecs: 765577737
  frame_id: ''
latencyUsec: 0
sizeBit: 1784
seqNum: 17088"
1724324468.7698596,"header: 
  seq: 14
  stamp: 
    secs: 1724324468
    nsecs: 768409272
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 17089"
1724324468.7698927,"header: 
  seq: 15
  stamp: 
    secs: 1724324468
    nsecs: 768455248
  frame_id: ''
latencyUsec: 0
sizeBit: 2400
seqNum: 17090"
1724324468.7750566,"header: 
  seq: 16
  stamp: 
    secs: 1724324468
    nsecs: 772389213
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 17091"
1724324468.7750676,"header: 
  seq: 17
  stamp: 
    secs: 1724324468
    nsecs: 772434705
  frame_id: ''
latencyUsec: 0
sizeBit: 3736
seqNum: 17092"
