Time,Message
1724324440.9036417,"header: 
  seq: 6
  stamp: 
    secs: 1724324440
    nsecs: 899420599
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324440.9993784,"header: 
  seq: 7
  stamp: 
    secs: 1724324440
    nsecs: 999134470
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324441.1005752,"header: 
  seq: 8
  stamp: 
    secs: 1724324441
    nsecs:  99601721
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324441.2003226,"header: 
  seq: 9
  stamp: 
    secs: 1724324441
    nsecs: 200057187
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324441.3000453,"header: 
  seq: 10
  stamp: 
    secs: 1724324441
    nsecs: 299484455
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324441.3997605,"header: 
  seq: 11
  stamp: 
    secs: 1724324441
    nsecs: 399182034
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324441.499988,"header: 
  seq: 12
  stamp: 
    secs: 1724324441
    nsecs: 499160614
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324441.6003213,"header: 
  seq: 13
  stamp: 
    secs: 1724324441
    nsecs: 599778390
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324441.6996086,"header: 
  seq: 14
  stamp: 
    secs: 1724324441
    nsecs: 699403762
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324441.7998416,"header: 
  seq: 15
  stamp: 
    secs: 1724324441
    nsecs: 799526324
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324441.8999858,"header: 
  seq: 16
  stamp: 
    secs: 1724324441
    nsecs: 899200585
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324441.9992867,"header: 
  seq: 17
  stamp: 
    secs: 1724324441
    nsecs: 999122096
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324442.0994394,"header: 
  seq: 18
  stamp: 
    secs: 1724324442
    nsecs:  99167945
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324442.199683,"header: 
  seq: 19
  stamp: 
    secs: 1724324442
    nsecs: 199172934
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324442.2994518,"header: 
  seq: 20
  stamp: 
    secs: 1724324442
    nsecs: 299286711
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324442.3994865,"header: 
  seq: 21
  stamp: 
    secs: 1724324442
    nsecs: 399302183
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324442.5027504,"header: 
  seq: 22
  stamp: 
    secs: 1724324442
    nsecs: 499220930
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324442.5997012,"header: 
  seq: 23
  stamp: 
    secs: 1724324442
    nsecs: 599528050
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324442.7003138,"header: 
  seq: 24
  stamp: 
    secs: 1724324442
    nsecs: 699468019
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324442.8004317,"header: 
  seq: 25
  stamp: 
    secs: 1724324442
    nsecs: 799867250
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324442.899907,"header: 
  seq: 26
  stamp: 
    secs: 1724324442
    nsecs: 899691706
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324442.9995785,"header: 
  seq: 27
  stamp: 
    secs: 1724324442
    nsecs: 999272225
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324443.1005602,"header: 
  seq: 28
  stamp: 
    secs: 1724324443
    nsecs:  99247597
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324443.199306,"header: 
  seq: 29
  stamp: 
    secs: 1724324443
    nsecs: 199127520
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324443.3002496,"header: 
  seq: 30
  stamp: 
    secs: 1724324443
    nsecs: 299488816
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324443.400452,"header: 
  seq: 31
  stamp: 
    secs: 1724324443
    nsecs: 399289507
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324443.4997165,"header: 
  seq: 32
  stamp: 
    secs: 1724324443
    nsecs: 499207950
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324443.5999157,"header: 
  seq: 33
  stamp: 
    secs: 1724324443
    nsecs: 599461947
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324443.701641,"header: 
  seq: 34
  stamp: 
    secs: 1724324443
    nsecs: 699136765
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324443.8023944,"header: 
  seq: 35
  stamp: 
    secs: 1724324443
    nsecs: 799302710
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324443.9006102,"header: 
  seq: 36
  stamp: 
    secs: 1724324443
    nsecs: 899207653
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324444.0003479,"header: 
  seq: 37
  stamp: 
    secs: 1724324443
    nsecs: 999150818
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324444.1007314,"header: 
  seq: 38
  stamp: 
    secs: 1724324444
    nsecs: 100257365
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324444.1996846,"header: 
  seq: 39
  stamp: 
    secs: 1724324444
    nsecs: 199285986
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324444.300996,"header: 
  seq: 40
  stamp: 
    secs: 1724324444
    nsecs: 299441060
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324444.3995285,"header: 
  seq: 41
  stamp: 
    secs: 1724324444
    nsecs: 399174283
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324444.501293,"header: 
  seq: 42
  stamp: 
    secs: 1724324444
    nsecs: 499119218
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324444.5993881,"header: 
  seq: 43
  stamp: 
    secs: 1724324444
    nsecs: 599146261
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324444.6993794,"header: 
  seq: 44
  stamp: 
    secs: 1724324444
    nsecs: 699134266
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324444.8013737,"header: 
  seq: 45
  stamp: 
    secs: 1724324444
    nsecs: 799437328
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324444.8998785,"header: 
  seq: 46
  stamp: 
    secs: 1724324444
    nsecs: 899713787
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324444.9996748,"header: 
  seq: 47
  stamp: 
    secs: 1724324444
    nsecs: 999273779
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324445.0998058,"header: 
  seq: 48
  stamp: 
    secs: 1724324445
    nsecs:  99500013
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324445.1995616,"header: 
  seq: 49
  stamp: 
    secs: 1724324445
    nsecs: 199215292
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324445.300819,"header: 
  seq: 50
  stamp: 
    secs: 1724324445
    nsecs: 299927397
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324445.399654,"header: 
  seq: 51
  stamp: 
    secs: 1724324445
    nsecs: 399386934
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324445.499485,"header: 
  seq: 52
  stamp: 
    secs: 1724324445
    nsecs: 499188074
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324445.6000342,"header: 
  seq: 53
  stamp: 
    secs: 1724324445
    nsecs: 599481799
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324445.6994996,"header: 
  seq: 54
  stamp: 
    secs: 1724324445
    nsecs: 699137642
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324445.8015707,"header: 
  seq: 55
  stamp: 
    secs: 1724324445
    nsecs: 799725470
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324445.9005184,"header: 
  seq: 56
  stamp: 
    secs: 1724324445
    nsecs: 899514941
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324445.9999027,"header: 
  seq: 57
  stamp: 
    secs: 1724324445
    nsecs: 999665384
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324446.099631,"header: 
  seq: 58
  stamp: 
    secs: 1724324446
    nsecs:  99244219
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324446.1998978,"header: 
  seq: 59
  stamp: 
    secs: 1724324446
    nsecs: 199715275
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324446.300751,"header: 
  seq: 60
  stamp: 
    secs: 1724324446
    nsecs: 299694138
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324446.3995616,"header: 
  seq: 61
  stamp: 
    secs: 1724324446
    nsecs: 399323186
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324446.4995413,"header: 
  seq: 62
  stamp: 
    secs: 1724324446
    nsecs: 499298515
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324446.6003585,"header: 
  seq: 63
  stamp: 
    secs: 1724324446
    nsecs: 600191258
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324446.6994226,"header: 
  seq: 64
  stamp: 
    secs: 1724324446
    nsecs: 699217557
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324446.8003008,"header: 
  seq: 65
  stamp: 
    secs: 1724324446
    nsecs: 799575494
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324446.8997076,"header: 
  seq: 66
  stamp: 
    secs: 1724324446
    nsecs: 899221548
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324446.99956,"header: 
  seq: 67
  stamp: 
    secs: 1724324446
    nsecs: 999146774
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324447.1003911,"header: 
  seq: 68
  stamp: 
    secs: 1724324447
    nsecs:  99202047
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324447.1994555,"header: 
  seq: 69
  stamp: 
    secs: 1724324447
    nsecs: 199163416
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324447.3004818,"header: 
  seq: 70
  stamp: 
    secs: 1724324447
    nsecs: 299388901
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
