Time,Message
1724324352.033082,"header: 
  seq: 0
  stamp: 
    secs: 1724324352
    nsecs:  32784110
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324352.0470576,"header: 
  seq: 1
  stamp: 
    secs: 1724324352
    nsecs:  42761856
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324352.0527744,"header: 
  seq: 2
  stamp: 
    secs: 1724324352
    nsecs:  52423469
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324352.0656488,"header: 
  seq: 3
  stamp: 
    secs: 1724324352
    nsecs:  63273271
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324352.0813093,"header: 
  seq: 4
  stamp: 
    secs: 1724324352
    nsecs:  75560125
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324352.0853653,"header: 
  seq: 5
  stamp: 
    secs: 1724324352
    nsecs:  84655168
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324352.0937726,"header: 
  seq: 6
  stamp: 
    secs: 1724324352
    nsecs:  93186417
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324352.1066816,"header: 
  seq: 7
  stamp: 
    secs: 1724324352
    nsecs: 105403053
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324352.1207361,"header: 
  seq: 8
  stamp: 
    secs: 1724324352
    nsecs: 115578968
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324352.1258848,"header: 
  seq: 9
  stamp: 
    secs: 1724324352
    nsecs: 123856766
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
