Time,Message
1723126466.8919964,"header: 
  seq: 0
  stamp: 
    secs: 1723126474
    nsecs: 159084575
  frame_id: ''
indicator: 0
gearPosition: 1
honk: 0
wiper: 0
headLight: 0
flashLight: 0
steeringWheelAngle: 0.01745329238474369
curvature: 0.0
engineSpeed: 0.0
longitudinalSpeed: 0.0
linearAcceleration: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126466.9882426,"header: 
  seq: 1
  stamp: 
    secs: 1723126474
    nsecs: 255403734
  frame_id: ''
indicator: 0
gearPosition: 1
honk: 0
wiper: 0
headLight: 0
flashLight: 0
steeringWheelAngle: 0.0
curvature: 0.0
engineSpeed: 0.0
longitudinalSpeed: 0.0
linearAcceleration: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126467.0879676,"header: 
  seq: 2
  stamp: 
    secs: 1723126474
    nsecs: 355079651
  frame_id: ''
indicator: 0
gearPosition: 1
honk: 0
wiper: 0
headLight: 0
flashLight: 0
steeringWheelAngle: 0.0
curvature: 0.0
engineSpeed: 0.0
longitudinalSpeed: 0.0
linearAcceleration: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126467.1890333,"header: 
  seq: 3
  stamp: 
    secs: 1723126474
    nsecs: 456921671
  frame_id: ''
indicator: 0
gearPosition: 1
honk: 0
wiper: 0
headLight: 0
flashLight: 0
steeringWheelAngle: 0.0
curvature: 0.0
engineSpeed: 0.0
longitudinalSpeed: 0.0
linearAcceleration: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126467.291943,"header: 
  seq: 4
  stamp: 
    secs: 1723126474
    nsecs: 558898276
  frame_id: ''
indicator: 0
gearPosition: 1
honk: 0
wiper: 0
headLight: 0
flashLight: 0
steeringWheelAngle: 0.0
curvature: 0.0
engineSpeed: 0.0
longitudinalSpeed: 0.0
linearAcceleration: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126467.3914309,"header: 
  seq: 5
  stamp: 
    secs: 1723126474
    nsecs: 658838055
  frame_id: ''
indicator: 0
gearPosition: 1
honk: 0
wiper: 0
headLight: 0
flashLight: 0
steeringWheelAngle: 0.0
curvature: 0.0
engineSpeed: 0.0
longitudinalSpeed: 0.0
linearAcceleration: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126467.491574,"header: 
  seq: 6
  stamp: 
    secs: 1723126474
    nsecs: 758820039
  frame_id: ''
indicator: 0
gearPosition: 1
honk: 0
wiper: 0
headLight: 0
flashLight: 0
steeringWheelAngle: 0.0
curvature: 0.0
engineSpeed: 0.0
longitudinalSpeed: 0.0
linearAcceleration: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126467.590331,"header: 
  seq: 7
  stamp: 
    secs: 1723126474
    nsecs: 856913201
  frame_id: ''
indicator: 0
gearPosition: 1
honk: 0
wiper: 0
headLight: 0
flashLight: 0
steeringWheelAngle: 0.0
curvature: 0.0
engineSpeed: 0.0
longitudinalSpeed: 0.0
linearAcceleration: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126467.691723,"header: 
  seq: 8
  stamp: 
    secs: 1723126474
    nsecs: 959136039
  frame_id: ''
indicator: 0
gearPosition: 1
honk: 0
wiper: 0
headLight: 0
flashLight: 0
steeringWheelAngle: 0.0
curvature: 0.0
engineSpeed: 0.0
longitudinalSpeed: 0.0
linearAcceleration: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126467.7916822,"header: 
  seq: 9
  stamp: 
    secs: 1723126475
    nsecs:  58264452
  frame_id: ''
indicator: 0
gearPosition: 1
honk: 0
wiper: 0
headLight: 0
flashLight: 0
steeringWheelAngle: 0.0
curvature: 0.0
engineSpeed: 0.0
longitudinalSpeed: 0.0
linearAcceleration: 
  x: 0.0
  y: 0.0
  z: 0.0"
