Time,Message
1724324335.354343,"header: 
  seq: 0
  stamp: 
    secs: 1724324335
    nsecs: 347945122
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 25210"
1724324335.354357,"header: 
  seq: 1
  stamp: 
    secs: 1724324335
    nsecs: 348023036
  frame_id: ''
latencyUsec: 0
sizeBit: 11200
seqNum: 25211"
1724324335.354363,"header: 
  seq: 2
  stamp: 
    secs: 1724324335
    nsecs: 348082428
  frame_id: ''
latencyUsec: 0
sizeBit: 11200
seqNum: 25212"
1724324335.354366,"header: 
  seq: 3
  stamp: 
    secs: 1724324335
    nsecs: 348101655
  frame_id: ''
latencyUsec: 0
sizeBit: 11200
seqNum: 25213"
1724324335.3543706,"header: 
  seq: 4
  stamp: 
    secs: 1724324335
    nsecs: 348241751
  frame_id: ''
latencyUsec: 0
sizeBit: 3728
seqNum: 25214"
1724324335.36423,"header: 
  seq: 5
  stamp: 
    secs: 1724324335
    nsecs: 360569804
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 25215"
1724324335.3642478,"header: 
  seq: 6
  stamp: 
    secs: 1724324335
    nsecs: 360599909
  frame_id: ''
latencyUsec: 0
sizeBit: 888
seqNum: 25216"
1724324335.3686652,"header: 
  seq: 7
  stamp: 
    secs: 1724324335
    nsecs: 366968242
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 25217"
1724324335.368678,"header: 
  seq: 8
  stamp: 
    secs: 1724324335
    nsecs: 366990885
  frame_id: ''
latencyUsec: 0
sizeBit: 2840
seqNum: 25218"
1724324335.3712838,"header: 
  seq: 9
  stamp: 
    secs: 1724324335
    nsecs: 371064440
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 25219"
1724324335.3713324,"header: 
  seq: 10
  stamp: 
    secs: 1724324335
    nsecs: 371168763
  frame_id: ''
latencyUsec: 0
sizeBit: 3776
seqNum: 25220"
1724324335.3763926,"header: 
  seq: 11
  stamp: 
    secs: 1724324335
    nsecs: 376225515
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 25221"
1724324335.3768225,"header: 
  seq: 12
  stamp: 
    secs: 1724324335
    nsecs: 376416701
  frame_id: ''
latencyUsec: 0
sizeBit: 4488
seqNum: 25222"
1724324335.3828845,"header: 
  seq: 13
  stamp: 
    secs: 1724324335
    nsecs: 382586426
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 25223"
1724324335.3829057,"header: 
  seq: 14
  stamp: 
    secs: 1724324335
    nsecs: 382809725
  frame_id: ''
latencyUsec: 0
sizeBit: 6448
seqNum: 25224"
1724324335.389397,"header: 
  seq: 15
  stamp: 
    secs: 1724324335
    nsecs: 388516839
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 25225"
1724324335.3894138,"header: 
  seq: 16
  stamp: 
    secs: 1724324335
    nsecs: 388603226
  frame_id: ''
latencyUsec: 0
sizeBit: 6272
seqNum: 25226"
1724324335.3949795,"header: 
  seq: 17
  stamp: 
    secs: 1724324335
    nsecs: 394826300
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 25227"
1724324335.395105,"header: 
  seq: 18
  stamp: 
    secs: 1724324335
    nsecs: 395012600
  frame_id: ''
latencyUsec: 0
sizeBit: 6040
seqNum: 25228"
1724324335.4003124,"header: 
  seq: 19
  stamp: 
    secs: 1724324335
    nsecs: 400214590
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 25229"
1724324335.4003887,"header: 
  seq: 20
  stamp: 
    secs: 1724324335
    nsecs: 400285954
  frame_id: ''
latencyUsec: 0
sizeBit: 4424
seqNum: 25230"
1724324335.4044468,"header: 
  seq: 21
  stamp: 
    secs: 1724324335
    nsecs: 404339635
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 25231"
1724324335.404504,"header: 
  seq: 22
  stamp: 
    secs: 1724324335
    nsecs: 404421387
  frame_id: ''
latencyUsec: 0
sizeBit: 7392
seqNum: 25232"
1724324335.408433,"header: 
  seq: 23
  stamp: 
    secs: 1724324335
    nsecs: 408336212
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 25233"
1724324335.4085238,"header: 
  seq: 24
  stamp: 
    secs: 1724324335
    nsecs: 408450022
  frame_id: ''
latencyUsec: 0
sizeBit: 11200
seqNum: 25234"
1724324335.4086053,"header: 
  seq: 25
  stamp: 
    secs: 1724324335
    nsecs: 408510424
  frame_id: ''
latencyUsec: 0
sizeBit: 1432
seqNum: 25235"
1724324335.413612,"header: 
  seq: 26
  stamp: 
    secs: 1724324335
    nsecs: 411626578
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 25236"
1724324335.4136968,"header: 
  seq: 27
  stamp: 
    secs: 1724324335
    nsecs: 411703556
  frame_id: ''
latencyUsec: 0
sizeBit: 11200
seqNum: 25237"
1724324335.4138315,"header: 
  seq: 28
  stamp: 
    secs: 1724324335
    nsecs: 411767791
  frame_id: ''
latencyUsec: 0
sizeBit: 384
seqNum: 25238"
1724324335.416826,"header: 
  seq: 29
  stamp: 
    secs: 1724324335
    nsecs: 415897431
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 25239"
1724324335.4168293,"header: 
  seq: 30
  stamp: 
    secs: 1724324335
    nsecs: 416007382
  frame_id: ''
latencyUsec: 0
sizeBit: 9656
seqNum: 25240"
1724324335.4226942,"header: 
  seq: 31
  stamp: 
    secs: 1724324335
    nsecs: 420717480
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 25241"
1724324335.4226978,"header: 
  seq: 32
  stamp: 
    secs: 1724324335
    nsecs: 420793484
  frame_id: ''
latencyUsec: 0
sizeBit: 11200
seqNum: 25242"
1724324335.4227002,"header: 
  seq: 33
  stamp: 
    secs: 1724324335
    nsecs: 420826212
  frame_id: ''
latencyUsec: 0
sizeBit: 496
seqNum: 25243"
1724324335.4289472,"header: 
  seq: 34
  stamp: 
    secs: 1724324335
    nsecs: 426077045
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 25244"
1724324335.4289825,"header: 
  seq: 35
  stamp: 
    secs: 1724324335
    nsecs: 426113872
  frame_id: ''
latencyUsec: 0
sizeBit: 312
seqNum: 25245"
1724324335.4289927,"header: 
  seq: 36
  stamp: 
    secs: 1724324335
    nsecs: 426132195
  frame_id: ''
latencyUsec: 0
sizeBit: 128
seqNum: 25246"
1724324335.4289994,"header: 
  seq: 37
  stamp: 
    secs: 1724324335
    nsecs: 426146778
  frame_id: ''
latencyUsec: 0
sizeBit: 144
seqNum: 25247"
1724324335.4290037,"header: 
  seq: 38
  stamp: 
    secs: 1724324335
    nsecs: 426161127
  frame_id: ''
latencyUsec: 0
sizeBit: 9400
seqNum: 25248"
1724324335.4581413,"header: 
  seq: 39
  stamp: 
    secs: 1724324335
    nsecs: 457881907
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 25249"
1724324335.4581492,"header: 
  seq: 40
  stamp: 
    secs: 1724324335
    nsecs: 458032610
  frame_id: ''
latencyUsec: 0
sizeBit: 11200
seqNum: 25250"
1724324335.4586504,"header: 
  seq: 41
  stamp: 
    secs: 1724324335
    nsecs: 458531062
  frame_id: ''
latencyUsec: 0
sizeBit: 984
seqNum: 25251"
1724324335.491778,"header: 
  seq: 42
  stamp: 
    secs: 1724324335
    nsecs: 491532002
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 25252"
1724324335.4919379,"header: 
  seq: 43
  stamp: 
    secs: 1724324335
    nsecs: 491766841
  frame_id: ''
latencyUsec: 0
sizeBit: 11200
seqNum: 25253"
1724324335.492207,"header: 
  seq: 44
  stamp: 
    secs: 1724324335
    nsecs: 491935584
  frame_id: ''
latencyUsec: 0
sizeBit: 632
seqNum: 25254"
1724324335.5253663,"header: 
  seq: 45
  stamp: 
    secs: 1724324335
    nsecs: 525196303
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 25255"
1724324335.5254483,"header: 
  seq: 46
  stamp: 
    secs: 1724324335
    nsecs: 525334863
  frame_id: ''
latencyUsec: 0
sizeBit: 11200
seqNum: 25256"
1724324335.5255027,"header: 
  seq: 47
  stamp: 
    secs: 1724324335
    nsecs: 525360000
  frame_id: ''
latencyUsec: 0
sizeBit: 608
seqNum: 25257"
1724324335.5605712,"header: 
  seq: 48
  stamp: 
    secs: 1724324335
    nsecs: 560314831
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 25258"
1724324335.5605915,"header: 
  seq: 49
  stamp: 
    secs: 1724324335
    nsecs: 560389619
  frame_id: ''
latencyUsec: 0
sizeBit: 11200
seqNum: 25259"
1724324335.560599,"header: 
  seq: 50
  stamp: 
    secs: 1724324335
    nsecs: 560415290
  frame_id: ''
latencyUsec: 0
sizeBit: 232
seqNum: 25260"
1724324335.591848,"header: 
  seq: 51
  stamp: 
    secs: 1724324335
    nsecs: 591636940
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 25261"
1724324335.5925307,"header: 
  seq: 52
  stamp: 
    secs: 1724324335
    nsecs: 592275717
  frame_id: ''
latencyUsec: 0
sizeBit: 11200
seqNum: 25262"
1724324335.593754,"header: 
  seq: 53
  stamp: 
    secs: 1724324335
    nsecs: 592962037
  frame_id: ''
latencyUsec: 0
sizeBit: 2016
seqNum: 25263"
1724324335.625115,"header: 
  seq: 54
  stamp: 
    secs: 1724324335
    nsecs: 624594540
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 25264"
1724324335.625142,"header: 
  seq: 55
  stamp: 
    secs: 1724324335
    nsecs: 624802686
  frame_id: ''
latencyUsec: 0
sizeBit: 11200
seqNum: 25265"
1724324335.6251516,"header: 
  seq: 56
  stamp: 
    secs: 1724324335
    nsecs: 624850299
  frame_id: ''
latencyUsec: 0
sizeBit: 2520
seqNum: 25266"
