Time,Message
1724324316.6663392,"header: 
  seq: 9
  stamp: 
    secs: 1724324316
    nsecs: 665586238
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324316.7663844,"header: 
  seq: 10
  stamp: 
    secs: 1724324316
    nsecs: 765862124
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324316.8679712,"header: 
  seq: 11
  stamp: 
    secs: 1724324316
    nsecs: 867151592
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324316.9671555,"header: 
  seq: 12
  stamp: 
    secs: 1724324316
    nsecs: 965711553
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324317.065691,"header: 
  seq: 13
  stamp: 
    secs: 1724324317
    nsecs:  65527377
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324317.1659749,"header: 
  seq: 14
  stamp: 
    secs: 1724324317
    nsecs: 165566605
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324317.2657993,"header: 
  seq: 15
  stamp: 
    secs: 1724324317
    nsecs: 265557655
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324317.365737,"header: 
  seq: 16
  stamp: 
    secs: 1724324317
    nsecs: 365514812
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324317.4656045,"header: 
  seq: 17
  stamp: 
    secs: 1724324317
    nsecs: 465494648
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324317.5672777,"header: 
  seq: 18
  stamp: 
    secs: 1724324317
    nsecs: 565506098
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324317.6657305,"header: 
  seq: 19
  stamp: 
    secs: 1724324317
    nsecs: 665505420
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324317.765741,"header: 
  seq: 20
  stamp: 
    secs: 1724324317
    nsecs: 765522681
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324317.865747,"header: 
  seq: 21
  stamp: 
    secs: 1724324317
    nsecs: 865523454
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324317.9782367,"header: 
  seq: 22
  stamp: 
    secs: 1724324317
    nsecs: 965523250
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324318.0657198,"header: 
  seq: 23
  stamp: 
    secs: 1724324318
    nsecs:  65523475
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324318.1656625,"header: 
  seq: 24
  stamp: 
    secs: 1724324318
    nsecs: 165510784
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324318.265652,"header: 
  seq: 25
  stamp: 
    secs: 1724324318
    nsecs: 265509296
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324318.3657207,"header: 
  seq: 26
  stamp: 
    secs: 1724324318
    nsecs: 365495709
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324318.4660785,"header: 
  seq: 27
  stamp: 
    secs: 1724324318
    nsecs: 465562190
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324318.5676641,"header: 
  seq: 28
  stamp: 
    secs: 1724324318
    nsecs: 565661384
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324318.6676412,"header: 
  seq: 29
  stamp: 
    secs: 1724324318
    nsecs: 666192479
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324318.766642,"header: 
  seq: 30
  stamp: 
    secs: 1724324318
    nsecs: 765788277
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324318.8669388,"header: 
  seq: 31
  stamp: 
    secs: 1724324318
    nsecs: 865546282
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324318.9666877,"header: 
  seq: 32
  stamp: 
    secs: 1724324318
    nsecs: 965820241
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324319.0671082,"header: 
  seq: 33
  stamp: 
    secs: 1724324319
    nsecs:  65885419
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324319.1661408,"header: 
  seq: 34
  stamp: 
    secs: 1724324319
    nsecs: 165746211
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324319.268516,"header: 
  seq: 35
  stamp: 
    secs: 1724324319
    nsecs: 265739427
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324319.3667831,"header: 
  seq: 36
  stamp: 
    secs: 1724324319
    nsecs: 365986009
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324319.4657545,"header: 
  seq: 37
  stamp: 
    secs: 1724324319
    nsecs: 465546573
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324319.5657923,"header: 
  seq: 38
  stamp: 
    secs: 1724324319
    nsecs: 565531783
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324319.6660647,"header: 
  seq: 39
  stamp: 
    secs: 1724324319
    nsecs: 665831081
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324319.7659001,"header: 
  seq: 40
  stamp: 
    secs: 1724324319
    nsecs: 765598343
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324319.865856,"header: 
  seq: 41
  stamp: 
    secs: 1724324319
    nsecs: 865540406
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324319.9657853,"header: 
  seq: 42
  stamp: 
    secs: 1724324319
    nsecs: 965557848
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324320.0659268,"header: 
  seq: 43
  stamp: 
    secs: 1724324320
    nsecs:  65585757
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324320.1659942,"header: 
  seq: 44
  stamp: 
    secs: 1724324320
    nsecs: 165592307
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324320.26599,"header: 
  seq: 45
  stamp: 
    secs: 1724324320
    nsecs: 265596965
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
