Time,Message
1724324316.6158025,"header: 
  seq: 17
  stamp: 
    secs: 1724324316
    nsecs: 614867624
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324316.6663206,"header: 
  seq: 18
  stamp: 
    secs: 1724324316
    nsecs: 664834634
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324316.7150087,"header: 
  seq: 19
  stamp: 
    secs: 1724324316
    nsecs: 714802809
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324316.7653148,"header: 
  seq: 20
  stamp: 
    secs: 1724324316
    nsecs: 764821544
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324316.8154078,"header: 
  seq: 21
  stamp: 
    secs: 1724324316
    nsecs: 814878907
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324316.8659153,"header: 
  seq: 22
  stamp: 
    secs: 1724324316
    nsecs: 864815333
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324316.9149296,"header: 
  seq: 23
  stamp: 
    secs: 1724324316
    nsecs: 914799117
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324316.9649677,"header: 
  seq: 24
  stamp: 
    secs: 1724324316
    nsecs: 964797189
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324317.0150404,"header: 
  seq: 25
  stamp: 
    secs: 1724324317
    nsecs:  14859305
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324317.065054,"header: 
  seq: 26
  stamp: 
    secs: 1724324317
    nsecs:  64807226
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324317.1151037,"header: 
  seq: 27
  stamp: 
    secs: 1724324317
    nsecs: 114861051
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324317.1651645,"header: 
  seq: 28
  stamp: 
    secs: 1724324317
    nsecs: 164798934
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324317.215393,"header: 
  seq: 29
  stamp: 
    secs: 1724324317
    nsecs: 214892330
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324317.2650278,"header: 
  seq: 30
  stamp: 
    secs: 1724324317
    nsecs: 264806106
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324317.3149235,"header: 
  seq: 31
  stamp: 
    secs: 1724324317
    nsecs: 314788238
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324317.3650906,"header: 
  seq: 32
  stamp: 
    secs: 1724324317
    nsecs: 364823122
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324317.4149292,"header: 
  seq: 33
  stamp: 
    secs: 1724324317
    nsecs: 414794288
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324317.4648762,"header: 
  seq: 34
  stamp: 
    secs: 1724324317
    nsecs: 464773863
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324317.5149245,"header: 
  seq: 35
  stamp: 
    secs: 1724324317
    nsecs: 514796209
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324317.5672717,"header: 
  seq: 36
  stamp: 
    secs: 1724324317
    nsecs: 564774612
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324317.6153865,"header: 
  seq: 37
  stamp: 
    secs: 1724324317
    nsecs: 614880096
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
