Time,Message
1724324620.056243,"header: 
  seq: 0
  stamp: 
    secs: 1724324620
    nsecs:  54971306
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.067981,"header: 
  seq: 1
  stamp: 
    secs: 1724324620
    nsecs:  67310053
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.0759466,"header: 
  seq: 2
  stamp: 
    secs: 1724324620
    nsecs:  75371182
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.0885065,"header: 
  seq: 3
  stamp: 
    secs: 1724324620
    nsecs:  85733063
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.0962398,"header: 
  seq: 4
  stamp: 
    secs: 1724324620
    nsecs:  95585273
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.1082554,"header: 
  seq: 5
  stamp: 
    secs: 1724324620
    nsecs: 107216719
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.1157858,"header: 
  seq: 6
  stamp: 
    secs: 1724324620
    nsecs: 114955382
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.1281867,"header: 
  seq: 7
  stamp: 
    secs: 1724324620
    nsecs: 126351401
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.141889,"header: 
  seq: 8
  stamp: 
    secs: 1724324620
    nsecs: 138724343
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.1577086,"header: 
  seq: 9
  stamp: 
    secs: 1724324620
    nsecs: 146544929
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.157714,"header: 
  seq: 10
  stamp: 
    secs: 1724324620
    nsecs: 156659563
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.1709788,"header: 
  seq: 11
  stamp: 
    secs: 1724324620
    nsecs: 166375527
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.1786003,"header: 
  seq: 12
  stamp: 
    secs: 1724324620
    nsecs: 175898883
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.1865551,"header: 
  seq: 13
  stamp: 
    secs: 1724324620
    nsecs: 185276314
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.199636,"header: 
  seq: 14
  stamp: 
    secs: 1724324620
    nsecs: 198303389
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.207956,"header: 
  seq: 15
  stamp: 
    secs: 1724324620
    nsecs: 205265877
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.2171295,"header: 
  seq: 16
  stamp: 
    secs: 1724324620
    nsecs: 215474360
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.2284033,"header: 
  seq: 17
  stamp: 
    secs: 1724324620
    nsecs: 227066092
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.240978,"header: 
  seq: 18
  stamp: 
    secs: 1724324620
    nsecs: 240202687
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.244435,"header: 
  seq: 19
  stamp: 
    secs: 1724324620
    nsecs: 244092729
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.2550502,"header: 
  seq: 20
  stamp: 
    secs: 1724324620
    nsecs: 254552593
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.2653828,"header: 
  seq: 21
  stamp: 
    secs: 1724324620
    nsecs: 264952894
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.2751813,"header: 
  seq: 22
  stamp: 
    secs: 1724324620
    nsecs: 274882712
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.2945256,"header: 
  seq: 23
  stamp: 
    secs: 1724324620
    nsecs: 285100408
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.2950025,"header: 
  seq: 24
  stamp: 
    secs: 1724324620
    nsecs: 294523687
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.305708,"header: 
  seq: 25
  stamp: 
    secs: 1724324620
    nsecs: 305160634
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.3145325,"header: 
  seq: 26
  stamp: 
    secs: 1724324620
    nsecs: 314224237
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.3247132,"header: 
  seq: 27
  stamp: 
    secs: 1724324620
    nsecs: 324190871
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.3340583,"header: 
  seq: 28
  stamp: 
    secs: 1724324620
    nsecs: 333806567
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.3445091,"header: 
  seq: 29
  stamp: 
    secs: 1724324620
    nsecs: 344151509
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.3560865,"header: 
  seq: 30
  stamp: 
    secs: 1724324620
    nsecs: 355589356
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.3647408,"header: 
  seq: 31
  stamp: 
    secs: 1724324620
    nsecs: 364393559
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.3760033,"header: 
  seq: 32
  stamp: 
    secs: 1724324620
    nsecs: 375447860
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.390446,"header: 
  seq: 33
  stamp: 
    secs: 1724324620
    nsecs: 388296943
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.3949475,"header: 
  seq: 34
  stamp: 
    secs: 1724324620
    nsecs: 394125263
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.4046936,"header: 
  seq: 35
  stamp: 
    secs: 1724324620
    nsecs: 404409764
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.4145331,"header: 
  seq: 36
  stamp: 
    secs: 1724324620
    nsecs: 414093724
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.4241004,"header: 
  seq: 37
  stamp: 
    secs: 1724324620
    nsecs: 423870500
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.4345703,"header: 
  seq: 38
  stamp: 
    secs: 1724324620
    nsecs: 434061720
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.4449747,"header: 
  seq: 39
  stamp: 
    secs: 1724324620
    nsecs: 444711971
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.4545484,"header: 
  seq: 40
  stamp: 
    secs: 1724324620
    nsecs: 454288465
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.465634,"header: 
  seq: 41
  stamp: 
    secs: 1724324620
    nsecs: 465289055
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.4742773,"header: 
  seq: 42
  stamp: 
    secs: 1724324620
    nsecs: 473965469
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.4869256,"header: 
  seq: 43
  stamp: 
    secs: 1724324620
    nsecs: 486212483
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.4940634,"header: 
  seq: 44
  stamp: 
    secs: 1724324620
    nsecs: 493867298
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
1724324620.504691,"header: 
  seq: 45
  stamp: 
    secs: 1724324620
    nsecs: 504422653
  frame_id: ''
indicator: 0
gearPosition: 0
honk: 0
wiper: 0
headLight: 0
flashLight: 0"
