Time,Message
1724324596.158534,"operator_header: 
  seq: 0
  stamp: 
    secs: 1724324595
    nsecs: 345716832
  frame_id: ''
operator_operator_ip_address: ''
operator_broker_ip_address: ''
operator_control_mode: 0
operator_video_rate_mode: 0
operator_input_device: 0
tod_status: 0
vehicle_header: 
  seq: 0
  stamp: 
    secs: 0
    nsecs:         0
  frame_id: ''
vehicle_vehicle_ip_address: ""127.0.0.1""
vehicle_emergency_stop_released: False
vehicle_long_approved: False
vehicle_lat_approved: False
vehicle_control_mode: 0
vehicle_nav_status: ''
vehicle_gps_pos_type: ''"
1724324596.16738,"operator_header: 
  seq: 0
  stamp: 
    secs: 1724324595
    nsecs: 345716832
  frame_id: ''
operator_operator_ip_address: ''
operator_broker_ip_address: ''
operator_control_mode: 0
operator_video_rate_mode: 0
operator_input_device: 0
tod_status: 0
vehicle_header: 
  seq: 0
  stamp: 
    secs: 0
    nsecs:         0
  frame_id: ''
vehicle_vehicle_ip_address: ""127.0.0.1""
vehicle_emergency_stop_released: False
vehicle_long_approved: False
vehicle_lat_approved: False
vehicle_control_mode: 0
vehicle_nav_status: ''
vehicle_gps_pos_type: ''"
1724324596.177731,"operator_header: 
  seq: 0
  stamp: 
    secs: 1724324595
    nsecs: 345716832
  frame_id: ''
operator_operator_ip_address: ''
operator_broker_ip_address: ''
operator_control_mode: 0
operator_video_rate_mode: 0
operator_input_device: 0
tod_status: 0
vehicle_header: 
  seq: 0
  stamp: 
    secs: 0
    nsecs:         0
  frame_id: ''
vehicle_vehicle_ip_address: ""127.0.0.1""
vehicle_emergency_stop_released: False
vehicle_long_approved: False
vehicle_lat_approved: False
vehicle_control_mode: 0
vehicle_nav_status: ''
vehicle_gps_pos_type: ''"
1724324596.189208,"operator_header: 
  seq: 0
  stamp: 
    secs: 1724324595
    nsecs: 345716832
  frame_id: ''
operator_operator_ip_address: ''
operator_broker_ip_address: ''
operator_control_mode: 0
operator_video_rate_mode: 0
operator_input_device: 0
tod_status: 0
vehicle_header: 
  seq: 0
  stamp: 
    secs: 0
    nsecs:         0
  frame_id: ''
vehicle_vehicle_ip_address: ""127.0.0.1""
vehicle_emergency_stop_released: False
vehicle_long_approved: False
vehicle_lat_approved: False
vehicle_control_mode: 0
vehicle_nav_status: ''
vehicle_gps_pos_type: ''"
1724324596.1982272,"operator_header: 
  seq: 0
  stamp: 
    secs: 1724324595
    nsecs: 345716832
  frame_id: ''
operator_operator_ip_address: ''
operator_broker_ip_address: ''
operator_control_mode: 0
operator_video_rate_mode: 0
operator_input_device: 0
tod_status: 0
vehicle_header: 
  seq: 0
  stamp: 
    secs: 0
    nsecs:         0
  frame_id: ''
vehicle_vehicle_ip_address: ""127.0.0.1""
vehicle_emergency_stop_released: False
vehicle_long_approved: False
vehicle_lat_approved: False
vehicle_control_mode: 0
vehicle_nav_status: ''
vehicle_gps_pos_type: ''"
1724324596.2080986,"operator_header: 
  seq: 0
  stamp: 
    secs: 1724324595
    nsecs: 345716832
  frame_id: ''
operator_operator_ip_address: ''
operator_broker_ip_address: ''
operator_control_mode: 0
operator_video_rate_mode: 0
operator_input_device: 0
tod_status: 0
vehicle_header: 
  seq: 0
  stamp: 
    secs: 0
    nsecs:         0
  frame_id: ''
vehicle_vehicle_ip_address: ""127.0.0.1""
vehicle_emergency_stop_released: False
vehicle_long_approved: False
vehicle_lat_approved: False
vehicle_control_mode: 0
vehicle_nav_status: ''
vehicle_gps_pos_type: ''"
1724324596.217726,"operator_header: 
  seq: 0
  stamp: 
    secs: 1724324595
    nsecs: 345716832
  frame_id: ''
operator_operator_ip_address: ''
operator_broker_ip_address: ''
operator_control_mode: 0
operator_video_rate_mode: 0
operator_input_device: 0
tod_status: 0
vehicle_header: 
  seq: 0
  stamp: 
    secs: 0
    nsecs:         0
  frame_id: ''
vehicle_vehicle_ip_address: ""127.0.0.1""
vehicle_emergency_stop_released: False
vehicle_long_approved: False
vehicle_lat_approved: False
vehicle_control_mode: 0
vehicle_nav_status: ''
vehicle_gps_pos_type: ''"
1724324596.228243,"operator_header: 
  seq: 0
  stamp: 
    secs: 1724324595
    nsecs: 345716832
  frame_id: ''
operator_operator_ip_address: ''
operator_broker_ip_address: ''
operator_control_mode: 0
operator_video_rate_mode: 0
operator_input_device: 0
tod_status: 0
vehicle_header: 
  seq: 0
  stamp: 
    secs: 0
    nsecs:         0
  frame_id: ''
vehicle_vehicle_ip_address: ""127.0.0.1""
vehicle_emergency_stop_released: False
vehicle_long_approved: False
vehicle_lat_approved: False
vehicle_control_mode: 0
vehicle_nav_status: ''
vehicle_gps_pos_type: ''"
1724324596.240467,"operator_header: 
  seq: 0
  stamp: 
    secs: 1724324595
    nsecs: 345716832
  frame_id: ''
operator_operator_ip_address: ''
operator_broker_ip_address: ''
operator_control_mode: 0
operator_video_rate_mode: 0
operator_input_device: 0
tod_status: 0
vehicle_header: 
  seq: 0
  stamp: 
    secs: 0
    nsecs:         0
  frame_id: ''
vehicle_vehicle_ip_address: ""127.0.0.1""
vehicle_emergency_stop_released: False
vehicle_long_approved: False
vehicle_lat_approved: False
vehicle_control_mode: 0
vehicle_nav_status: ''
vehicle_gps_pos_type: ''"
1724324596.248006,"operator_header: 
  seq: 0
  stamp: 
    secs: 1724324595
    nsecs: 345716832
  frame_id: ''
operator_operator_ip_address: ''
operator_broker_ip_address: ''
operator_control_mode: 0
operator_video_rate_mode: 0
operator_input_device: 0
tod_status: 0
vehicle_header: 
  seq: 0
  stamp: 
    secs: 0
    nsecs:         0
  frame_id: ''
vehicle_vehicle_ip_address: ""127.0.0.1""
vehicle_emergency_stop_released: False
vehicle_long_approved: False
vehicle_lat_approved: False
vehicle_control_mode: 0
vehicle_nav_status: ''
vehicle_gps_pos_type: ''"
