Time,Message
1724324614.1793406,"header: 
  seq: 0
  stamp: 
    secs: 1724324614
    nsecs: 179134788
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 31570"
1724324614.179359,"header: 
  seq: 1
  stamp: 
    secs: 1724324614
    nsecs: 179187753
  frame_id: ''
latencyUsec: 0
sizeBit: 11200
seqNum: 31571"
1724324614.1793635,"header: 
  seq: 2
  stamp: 
    secs: 1724324614
    nsecs: 179230922
  frame_id: ''
latencyUsec: 0
sizeBit: 9024
seqNum: 31572"
1724324614.1984823,"header: 
  seq: 3
  stamp: 
    secs: 1724324614
    nsecs: 194462229
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 31573"
1724324614.1985025,"header: 
  seq: 4
  stamp: 
    secs: 1724324614
    nsecs: 194507567
  frame_id: ''
latencyUsec: 0
sizeBit: 808
seqNum: 31574"
1724324614.2051263,"header: 
  seq: 5
  stamp: 
    secs: 1724324614
    nsecs: 203729851
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 31575"
1724324614.2051888,"header: 
  seq: 6
  stamp: 
    secs: 1724324614
    nsecs: 203855695
  frame_id: ''
latencyUsec: 0
sizeBit: 1984
seqNum: 31576"
1724324614.2133927,"header: 
  seq: 7
  stamp: 
    secs: 1724324614
    nsecs: 213114263
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 31577"
1724324614.2134342,"header: 
  seq: 8
  stamp: 
    secs: 1724324614
    nsecs: 213252830
  frame_id: ''
latencyUsec: 0
sizeBit: 4016
seqNum: 31578"
1724324614.221696,"header: 
  seq: 9
  stamp: 
    secs: 1724324614
    nsecs: 221451105
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 31579"
1724324614.2217803,"header: 
  seq: 10
  stamp: 
    secs: 1724324614
    nsecs: 221709360
  frame_id: ''
latencyUsec: 0
sizeBit: 4360
seqNum: 31580"
1724324614.2288048,"header: 
  seq: 11
  stamp: 
    secs: 1724324614
    nsecs: 228718307
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 31581"
1724324614.228874,"header: 
  seq: 12
  stamp: 
    secs: 1724324614
    nsecs: 228804091
  frame_id: ''
latencyUsec: 0
sizeBit: 4760
seqNum: 31582"
1724324614.2361782,"header: 
  seq: 13
  stamp: 
    secs: 1724324614
    nsecs: 235721747
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 31583"
1724324614.2361944,"header: 
  seq: 14
  stamp: 
    secs: 1724324614
    nsecs: 235838363
  frame_id: ''
latencyUsec: 0
sizeBit: 5728
seqNum: 31584"
1724324614.2444022,"header: 
  seq: 15
  stamp: 
    secs: 1724324614
    nsecs: 243766629
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 31585"
1724324614.2444167,"header: 
  seq: 16
  stamp: 
    secs: 1724324614
    nsecs: 243948753
  frame_id: ''
latencyUsec: 0
sizeBit: 6848
seqNum: 31586"
1724324614.2500443,"header: 
  seq: 17
  stamp: 
    secs: 1724324614
    nsecs: 249786305
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 31587"
1724324614.2530954,"header: 
  seq: 18
  stamp: 
    secs: 1724324614
    nsecs: 250465326
  frame_id: ''
latencyUsec: 0
sizeBit: 11200
seqNum: 31588"
1724324614.2531095,"header: 
  seq: 19
  stamp: 
    secs: 1724324614
    nsecs: 250581907
  frame_id: ''
latencyUsec: 0
sizeBit: 2512
seqNum: 31589"
1724324614.2559607,"header: 
  seq: 20
  stamp: 
    secs: 1724324614
    nsecs: 255215479
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 31590"
1724324614.2560692,"header: 
  seq: 21
  stamp: 
    secs: 1724324614
    nsecs: 255728674
  frame_id: ''
latencyUsec: 0
sizeBit: 11200
seqNum: 31591"
1724324614.2562902,"header: 
  seq: 22
  stamp: 
    secs: 1724324614
    nsecs: 255785096
  frame_id: ''
latencyUsec: 0
sizeBit: 624
seqNum: 31592"
1724324614.2625964,"header: 
  seq: 23
  stamp: 
    secs: 1724324614
    nsecs: 261748833
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 31593"
1724324614.2626276,"header: 
  seq: 24
  stamp: 
    secs: 1724324614
    nsecs: 262146922
  frame_id: ''
latencyUsec: 0
sizeBit: 8296
seqNum: 31594"
1724324614.2696643,"header: 
  seq: 25
  stamp: 
    secs: 1724324614
    nsecs: 267993037
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 31595"
1724324614.2696939,"header: 
  seq: 26
  stamp: 
    secs: 1724324614
    nsecs: 268330875
  frame_id: ''
latencyUsec: 0
sizeBit: 10224
seqNum: 31596"
1724324614.2769048,"header: 
  seq: 27
  stamp: 
    secs: 1724324614
    nsecs: 276745439
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 31597"
1724324614.2777317,"header: 
  seq: 28
  stamp: 
    secs: 1724324614
    nsecs: 276826411
  frame_id: ''
latencyUsec: 0
sizeBit: 5144
seqNum: 31598"
1724324614.3100946,"header: 
  seq: 29
  stamp: 
    secs: 1724324614
    nsecs: 309792879
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 31599"
1724324614.3105114,"header: 
  seq: 30
  stamp: 
    secs: 1724324614
    nsecs: 310399602
  frame_id: ''
latencyUsec: 0
sizeBit: 9416
seqNum: 31600"
1724324614.3427827,"header: 
  seq: 31
  stamp: 
    secs: 1724324614
    nsecs: 342555087
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 31601"
1724324614.3427992,"header: 
  seq: 32
  stamp: 
    secs: 1724324614
    nsecs: 342636731
  frame_id: ''
latencyUsec: 0
sizeBit: 312
seqNum: 31602"
1724324614.3428397,"header: 
  seq: 33
  stamp: 
    secs: 1724324614
    nsecs: 342674668
  frame_id: ''
latencyUsec: 0
sizeBit: 128
seqNum: 31603"
1724324614.343229,"header: 
  seq: 34
  stamp: 
    secs: 1724324614
    nsecs: 342886165
  frame_id: ''
latencyUsec: 0
sizeBit: 144
seqNum: 31604"
1724324614.343437,"header: 
  seq: 35
  stamp: 
    secs: 1724324614
    nsecs: 342950160
  frame_id: ''
latencyUsec: 0
sizeBit: 9440
seqNum: 31605"
1724324614.3775234,"header: 
  seq: 36
  stamp: 
    secs: 1724324614
    nsecs: 377334482
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 31606"
1724324614.3778398,"header: 
  seq: 37
  stamp: 
    secs: 1724324614
    nsecs: 377392950
  frame_id: ''
latencyUsec: 0
sizeBit: 10968
seqNum: 31607"
1724324614.4143908,"header: 
  seq: 38
  stamp: 
    secs: 1724324614
    nsecs: 411305790
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 31608"
1724324614.414407,"header: 
  seq: 39
  stamp: 
    secs: 1724324614
    nsecs: 411486461
  frame_id: ''
latencyUsec: 0
sizeBit: 10168
seqNum: 31609"
1724324614.4507604,"header: 
  seq: 40
  stamp: 
    secs: 1724324614
    nsecs: 444928173
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 31610"
1724324614.451674,"header: 
  seq: 41
  stamp: 
    secs: 1724324614
    nsecs: 444997504
  frame_id: ''
latencyUsec: 0
sizeBit: 11200
seqNum: 31611"
1724324614.451687,"header: 
  seq: 42
  stamp: 
    secs: 1724324614
    nsecs: 445028375
  frame_id: ''
latencyUsec: 0
sizeBit: 3176
seqNum: 31612"
1724324614.4787927,"header: 
  seq: 43
  stamp: 
    secs: 1724324614
    nsecs: 477811908
  frame_id: ''
latencyUsec: 0
sizeBit: 112
seqNum: 31613"
1724324614.4788067,"header: 
  seq: 44
  stamp: 
    secs: 1724324614
    nsecs: 477982463
  frame_id: ''
latencyUsec: 0
sizeBit: 11200
seqNum: 31614"
