Time,Message
1724324596.0099082,"header: 
  seq: 9
  stamp: 
    secs: 1724324596
    nsecs:   9709453
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324596.1101713,"header: 
  seq: 10
  stamp: 
    secs: 1724324596
    nsecs: 109698875
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324596.211279,"header: 
  seq: 11
  stamp: 
    secs: 1724324596
    nsecs: 209947871
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324596.3109858,"header: 
  seq: 12
  stamp: 
    secs: 1724324596
    nsecs: 309979673
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324596.4108715,"header: 
  seq: 13
  stamp: 
    secs: 1724324596
    nsecs: 409858749
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324596.5099344,"header: 
  seq: 14
  stamp: 
    secs: 1724324596
    nsecs: 509699133
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324596.6101096,"header: 
  seq: 15
  stamp: 
    secs: 1724324596
    nsecs: 609726334
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324596.7119217,"header: 
  seq: 16
  stamp: 
    secs: 1724324596
    nsecs: 709722830
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324596.811745,"header: 
  seq: 17
  stamp: 
    secs: 1724324596
    nsecs: 811352906
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324596.9098916,"header: 
  seq: 18
  stamp: 
    secs: 1724324596
    nsecs: 909699382
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
1724324597.0098963,"header: 
  seq: 19
  stamp: 
    secs: 1724324597
    nsecs:   9724420
  frame_id: ""/front""
kbitrate: 0
framerate: 0
imageHeight: 0
imageWidth: 0
imageNofPixel: 0"
