Time,Message
1724324596.0726311,"header: 
  seq: 19
  stamp: 
    secs: 1724324596
    nsecs:  72274634
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324596.1247613,"header: 
  seq: 20
  stamp: 
    secs: 1724324596
    nsecs: 123679500
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324596.172992,"header: 
  seq: 21
  stamp: 
    secs: 1724324596
    nsecs: 172320183
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324596.222841,"header: 
  seq: 22
  stamp: 
    secs: 1724324596
    nsecs: 222435852
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324596.274933,"header: 
  seq: 23
  stamp: 
    secs: 1724324596
    nsecs: 273440084
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324596.3230302,"header: 
  seq: 24
  stamp: 
    secs: 1724324596
    nsecs: 322485627
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324596.3751633,"header: 
  seq: 25
  stamp: 
    secs: 1724324596
    nsecs: 372317015
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324596.4231582,"header: 
  seq: 26
  stamp: 
    secs: 1724324596
    nsecs: 422600301
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324596.473054,"header: 
  seq: 27
  stamp: 
    secs: 1724324596
    nsecs: 472423311
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324596.5234385,"header: 
  seq: 28
  stamp: 
    secs: 1724324596
    nsecs: 522470929
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324596.573282,"header: 
  seq: 29
  stamp: 
    secs: 1724324596
    nsecs: 572301971
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324596.6237402,"header: 
  seq: 30
  stamp: 
    secs: 1724324596
    nsecs: 622580708
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324596.674478,"header: 
  seq: 31
  stamp: 
    secs: 1724324596
    nsecs: 673735039
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324596.7241042,"header: 
  seq: 32
  stamp: 
    secs: 1724324596
    nsecs: 722572222
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324596.775768,"header: 
  seq: 33
  stamp: 
    secs: 1724324596
    nsecs: 772360209
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324596.8228915,"header: 
  seq: 34
  stamp: 
    secs: 1724324596
    nsecs: 822392577
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324596.8733084,"header: 
  seq: 35
  stamp: 
    secs: 1724324596
    nsecs: 872648584
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324596.9223785,"header: 
  seq: 36
  stamp: 
    secs: 1724324596
    nsecs: 922282927
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324596.9723861,"header: 
  seq: 37
  stamp: 
    secs: 1724324596
    nsecs: 972264215
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324597.0239928,"header: 
  seq: 38
  stamp: 
    secs: 1724324597
    nsecs:  22316785
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324597.0733752,"header: 
  seq: 39
  stamp: 
    secs: 1724324597
    nsecs:  72311193
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324597.1229155,"header: 
  seq: 40
  stamp: 
    secs: 1724324597
    nsecs: 122367816
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324597.1727087,"header: 
  seq: 41
  stamp: 
    secs: 1724324597
    nsecs: 172407115
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324597.2224317,"header: 
  seq: 42
  stamp: 
    secs: 1724324597
    nsecs: 222312284
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324597.2723935,"header: 
  seq: 43
  stamp: 
    secs: 1724324597
    nsecs: 272273357
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324597.3225517,"header: 
  seq: 44
  stamp: 
    secs: 1724324597
    nsecs: 322326189
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324597.3724468,"header: 
  seq: 45
  stamp: 
    secs: 1724324597
    nsecs: 372276405
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324597.4224396,"header: 
  seq: 46
  stamp: 
    secs: 1724324597
    nsecs: 422304391
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324597.4734762,"header: 
  seq: 47
  stamp: 
    secs: 1724324597
    nsecs: 472329285
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324597.5259748,"header: 
  seq: 48
  stamp: 
    secs: 1724324597
    nsecs: 522402995
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1724324597.5723894,"header: 
  seq: 49
  stamp: 
    secs: 1724324597
    nsecs: 572272749
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
