Time,Message
1723126453.3892257,"header: 
  seq: 7
  stamp: 
    secs: 1723126453
    nsecs: 389023139
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126453.4391778,"header: 
  seq: 8
  stamp: 
    secs: 1723126453
    nsecs: 439041149
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126453.4891868,"header: 
  seq: 9
  stamp: 
    secs: 1723126453
    nsecs: 489008287
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126453.5402157,"header: 
  seq: 10
  stamp: 
    secs: 1723126453
    nsecs: 539086863
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126453.589139,"header: 
  seq: 11
  stamp: 
    secs: 1723126453
    nsecs: 589006427
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126453.6391387,"header: 
  seq: 12
  stamp: 
    secs: 1723126453
    nsecs: 639042929
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126453.6892035,"header: 
  seq: 13
  stamp: 
    secs: 1723126453
    nsecs: 689026370
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126453.7392397,"header: 
  seq: 14
  stamp: 
    secs: 1723126453
    nsecs: 739027255
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126453.789242,"header: 
  seq: 15
  stamp: 
    secs: 1723126453
    nsecs: 789031669
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126453.8392653,"header: 
  seq: 16
  stamp: 
    secs: 1723126453
    nsecs: 839055885
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126453.889202,"header: 
  seq: 17
  stamp: 
    secs: 1723126453
    nsecs: 889015484
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126453.9392343,"header: 
  seq: 18
  stamp: 
    secs: 1723126453
    nsecs: 939057064
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126453.989124,"header: 
  seq: 19
  stamp: 
    secs: 1723126453
    nsecs: 989013383
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126454.0393443,"header: 
  seq: 20
  stamp: 
    secs: 1723126454
    nsecs:  39055422
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126454.0892038,"header: 
  seq: 21
  stamp: 
    secs: 1723126454
    nsecs:  89023211
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126454.1392221,"header: 
  seq: 22
  stamp: 
    secs: 1723126454
    nsecs: 139046311
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126454.1893256,"header: 
  seq: 23
  stamp: 
    secs: 1723126454
    nsecs: 189025019
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126454.2392762,"header: 
  seq: 24
  stamp: 
    secs: 1723126454
    nsecs: 239038637
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126454.2893684,"header: 
  seq: 25
  stamp: 
    secs: 1723126454
    nsecs: 289026264
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126454.339271,"header: 
  seq: 26
  stamp: 
    secs: 1723126454
    nsecs: 339062948
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126454.3892508,"header: 
  seq: 27
  stamp: 
    secs: 1723126454
    nsecs: 389012835
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126454.4392471,"header: 
  seq: 28
  stamp: 
    secs: 1723126454
    nsecs: 439047262
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126454.489321,"header: 
  seq: 29
  stamp: 
    secs: 1723126454
    nsecs: 489028940
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126454.5392506,"header: 
  seq: 30
  stamp: 
    secs: 1723126454
    nsecs: 539039560
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126454.5891163,"header: 
  seq: 31
  stamp: 
    secs: 1723126454
    nsecs: 589006893
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126454.6392198,"header: 
  seq: 32
  stamp: 
    secs: 1723126454
    nsecs: 639032745
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126454.689148,"header: 
  seq: 33
  stamp: 
    secs: 1723126454
    nsecs: 689016669
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
1723126454.739093,"header: 
  seq: 34
  stamp: 
    secs: 1723126454
    nsecs: 739015539
  frame_id: ''
point: 
  x: 0.0
  y: 0.0
  z: 0.0"
